célia,célia.N+Pr:fs;@SÉ-LÍ-6
exorbitantes,exorbitante.A:fp;Ê-ZÔR-BÍ-@TÃ-7IS
exorbitante,exorbitante.A:ms;Ê-ZÔR-BÍ-@TÃ-7I
exorbitante,exorbitante.A:fs;Ê-ZÔR-BÍ-@TÃ-7I
expansiva,expansivo.A:fs;ÊS-PÃ-@SÍ-V6
expedicionários,expedicionário.A:mp;ÊS-PÊ-8Í-SÍ-Ô-@NÁ-ŔÍ-US
expedicionário,expedicionário.A:ms;ÊS-PÊ-8Í-SÍ-Ô-@NÁ-ŔÍ-U
expediente,expediente.A:ms;ÊS-PÊ-8Í-@Ẽ-7I
expediente,expediente.A:fs;ÊS-PÊ-8Í-@Ẽ-7I
expedito,expedito.A:ms;ÊS-PÊ-@8Í-TU
experientes,experiente.A:mp;ÊS-PÊ-ŔÍ-@Ẽ-7IS
experientes,experiente.A:fp;ÊS-PÊ-ŔÍ-@Ẽ-7IS
experiente,experiente.A:ms;ÊS-PÊ-ŔÍ-@Ẽ-7I
experiente,experiente.A:fs;ÊS-PÊ-ŔÍ-@Ẽ-7I
experimentada,experimentado.A:fs;ÊS-PÊ-ŔÍ-MẼ-@TÁ-D6
experimentado,experimentado.A:ms;ÊS-PÊ-ŔÍ-MẼ-@TÁ-DU
experimentais,experimental.A:mp;ÊS-PÊ-ŔÍ-MẼ-@TÁYS
experimentais,experimental.A:fp;ÊS-PÊ-ŔÍ-MẼ-@TÁYS
experimental,experimental.A:ms;ÊS-PÊ-ŔÍ-MẼ-@TÁW
experimental,experimental.A:fs;ÊS-PÊ-ŔÍ-MẼ-@TÁW
expiatório,expiatório.A:ms;ÊS-PÍ-Á-@TÓ-ŔÍ-U
explicativas,explicativo.A:fp;ÊS-PLÍ-KÁ-@7Í-V6S
explicativa,explicativo.A:fs;ÊS-PLÍ-KÁ-@7Í-V6
explicativos,explicativo.A:mp;ÊS-PLÍ-KÁ-@7Í-VUS
explicativo,explicativo.A:ms;ÊS-PLÍ-KÁ-@7Í-VU
exploradas,explorado.A:fp;ÊS-PLÔ-@ŔÁ-D6S
explorada,explorado.A:fs;ÊS-PLÔ-@ŔÁ-D6
explorados,explorado.A:mp;ÊS-PLÔ-@ŔÁ-DUS
explorado,explorado.A:ms;ÊS-PLÔ-@ŔÁ-DU
exploradores,explorador.A:mp;ÊS-PLÔ-ŔÁ-@DÔ-ŔIS
explorador,explorador.A:ms;ÊS-PLÔ-ŔÁ-@DÔH
explosiva,explosivo.A:fs;ÊS-PLÔ-@SÍ-V6
explosivos,explosivo.A:mp;ÊS-PLÔ-@SÍ-VUS
explosivo,explosivo.A:ms;ÊS-PLÔ-@SÍ-VU
explícitas,explícito.A:fp;ÊS-@PLÍ-SÍ-T6S
explícita,explícito.A:fs;ÊS-@PLÍ-SÍ-T6
explícito,explícito.A:ms;ÊS-@PLÍ-SÍ-TU
exponencial,exponencial.A:ms;ÊS-PÔ-NẼ-SÍ-@ÁW
exponencial,exponencial.A:fs;ÊS-PÔ-NẼ-SÍ-@ÁW
exportadores,exportador.A:mp;ÊS-PÔH-TÁ-@DÔ-ŔIS
exportador,exportador.A:ms;ÊS-PÔH-TÁ-@DÔH
expositiva,expositivo.A:fs;ÊS-PÔ-SÍ-@7Í-V6
expostas,exposto.A:fp;ÊS-@PÓS-T6S
exposta,exposto.A:fs;ÊS-@PÓS-T6
expostos,exposto.A:mp;ÊS-@PÓS-TUS
exposto,exposto.A:ms;ÊS-@PÔS-TU
expressivas,expressivo.A:fp;ÊS-PŔÊ-@SÍ-V6S
expressiva,expressivo.A:fs;ÊS-PŔÊ-@SÍ-V6
expressivos,expressivo.A:mp;ÊS-PŔÊ-@SÍ-VUS
expressivo,expressivo.A:ms;ÊS-PŔÊ-@SÍ-VU
expressas,expresso.A:fp;ÊS-@PŔÉ-S6S
expressa,expresso.A:fs;ÊS-@PŔÉ-S6
expresso,expresso.A:ms;ÊS-@PŔÉ-SU
extensivas,extensivo.A:fp;ÊS-TẼ-@SÍ-V6S
extensiva,extensivo.A:fs;ÊS-TẼ-@SÍ-V6
extensa,extenso.A:fs;ÊS-@TẼ-S6
extensos,extenso.A:mp;ÊS-@TẼ-SUS
extenso,extenso.A:ms;ÊS-@TẼ-SU
extensores,extensor.A:mp;ÊS-TẼ-@SÔ-ŔIS
extensor,extensor.A:ms;ÊS-TẼ-@SÔH
extensível,extensível.A:ms;ÊS-TẼ-@SÍ-VÊW
extensível,extensível.A:fs;ÊS-TẼ-@SÍ-VÊW
exteriores,exterior.A:mp;ÊS-TÊ-ŔÍ-@Ô-ŔIS
exteriores,exterior.A:fp;ÊS-TÊ-ŔÍ-@Ô-ŔIS
exterior,exterior.A:ms;ÊS-TÊ-ŔÍ-@ÔH
exterior,exterior.A:fs;ÊS-TÊ-ŔÍ-@ÔH
exterminador,exterminador.A:ms;ÊS-TÊR-MÍ-NÁ-@DÔH
externas,externo.A:fp;ÊS-@TÉR-N6S
externa,externo.A:fs;ÊS-@TÉR-N6
externos,externo.A:mp;ÊS-@TÉR-NUS
externo,externo.A:ms;ÊS-@TÉR-NU
extinta,extinto.A:fs;ÊS-@7Ĩ-T6
extintos,extinto.A:mp;ÊS-@7Ĩ-TUS
extinto,extinto.A:ms;ÊS-@7Ĩ-TU
extintor,extintor.A:ms;ÊS-7Ĩ-@TÔH
extorsivas,extorsivo.A:fp;ÊS-TÔH-@SÍ-V6S
extorsiva,extorsivo.A:fs;ÊS-TÔH-@SÍ-V6
extorsivos,extorsivo.A:mp;ÊS-TÔH-@SÍ-VUS
extorsivo,extorsivo.A:ms;ÊS-TÔR-@SÍ-VU
extras,extra.A:mp;@ÉS-TŔ6S
extras,extra.A:fp;@ÉS-TŔ6S
extra,extra.A:ms;@ÉS-TŔ6
extra,extra.A:fs;@ÉS-TŔ6
extraditados,extraditado.A:mp;ÊS-TŔÁ-8Í-@TÁ-DUS
extrafina,extrafino.A:fs;ÊS-TŔÁ-@FĨ-N6
extraordinárias,extraordinário.A:fp;ÊS-TŔÁ-ÔR-8Í-@NÁ-ŔÍ-6S
extraordinária,extraordinário.A:fs;ÊS-TŔÁ-ÔR-8Í-@NÁ-ŔÍ-6
extraordinários,extraordinário.A:mp;ÊS-TŔÁ-ÔR-8Í-@NÁ-ŔÍ-US
extraordinário,extraordinário.A:ms;ÊS-TŔÁ-ÔR-8Í-@NÁ-ŔÍ-U
extraterrena,extraterreno.A:fs;ÊS-TŔÁ-TÊ-@ŔẼ-N6
extraterrenos,extraterreno.A:mp;ÊS-TŔÁ-TÊ-@ŔẼ-NUS
extraterreno,extraterreno.A:ms;ÊS-TŔÁ-TÊ-@ŔẼ-NU
extraterrestres,extraterrestre.A:mp;ÊS-TŔÁ-TÊ-@ŔÉS-TŔIS
extraterrestres,extraterrestre.A:fp;ÊS-TŔÁ-TÊ-@ŔÉS-TŔIS
extraterrestre,extraterrestre.A:ms;ÊS-TŔÁ-TÊ-@ŔÉS-TŔI
extraterrestre,extraterrestre.A:fs;ÊS-TŔÁ-TÊ-@ŔÉS-TŔI
extrativas,extrativo.A:fp;ÊS-TŔÁ-@7Í-V6S
extravagantes,extravagante.A:mp;ÊS-TŔÁ-VÁ-@GÃ-7IS
extravagantes,extravagante.A:fp;ÊS-TŔÁ-VÁ-@GÃ-7IS
extraviada,extraviado.A:fs;ÊS-TŔÁ-VÍ-@Á-D6
extremado,extremado.A:ms;ÊS-TŔÊ-@MÁ-DU
extremistas,extremista.A:mp;ÊS-TŔÊ-@MÍS-T6S
extremistas,extremista.A:fp;ÊS-TŔÊ-@MÍS-T6S
extremista,extremista.A:ms;ÊS-TŔÊ-@MÍS-T6
extremista,extremista.A:fs;ÊS-TŔÊ-@MÍS-T6
extremas,extremo.A:fp;ÊS-@TŔẼ-M6S
extrema,extremo.A:fs;ÊS-@TŔẼ-M6
extremos,extremo.A:mp;ÊS-@TŔẼ-MUS
extremo,extremo.A:ms;ÊS-@TŔẼ-MU
exuberante,exuberante.A:ms;Ê-ZÚ-BÊ-@ŔÃ-7I
exuberante,exuberante.A:fs;Ê-ZÚ-BÊ-@ŔÃ-7I
exultantes,exultante.A:mp;Ê-ZÚW-@TÃ-7IS
exultantes,exultante.A:fp;Ê-ZÚW-@TÃ-7IS
exímia,exímio.A:fs;Ê-@ZĨ-MÍ-6
exímio,exímio.A:ms;Ê-@ZĨ-MÍ-U
exógenas,exógeno.A:fp;Ê-@ZÓ-JÊ-N6S
exógena,exógeno.A:fs;Ê-@ZÓ-JÊ-N6
exóticas,exótico.A:fp;Ê-@ZÓ-7Í-K6S
exótica,exótico.A:fs;Ê-@ZÓ-7Í-K6
exóticos,exótico.A:mp;Ê-@ZÓ-7Í-KUS
exótico,exótico.A:ms;Ê-@ZÓ-7Í-KU
fixas,fixo.A:fp;@FÍ-Q6S
fixa,fixo.A:fs;@FÍ-Q6
fixos,fixo.A:mp;@FÍ-QUS
fixo,fixo.A:ms;@FÍ-QU
flexíveis,flexível.A:mp;FLÊ-@QÍ-VÊYS
flexíveis,flexível.A:fp;FLÊ-@QÍ-VÊYS
flexível,flexível.A:ms;FLÊ-@QÍ-VÊW
flexível,flexível.A:fs;FLÊ-@QÍ-VÊW
fluxos,fluxo.A:mp;@FLÚ-QUS
fluxo,fluxo.A:ms;@FLÚ-QU
frouxa,frouxo.A:fs;@FŔÔW-X6
frouxo,frouxo.A:ms;@FŔÔW-XU
genuflexa,genuflexo.A:fs;JÊ-NÚ-@FLÉ-Q6
graxo,graxo.A:ms;@GŔÁ-XU
heterossexuais,heterossexual.A:mp;É-TÊ-ŔÔ-SÊ-QÚ-@ÁYS
heterossexuais,heterossexual.A:fp;É-TÊ-ŔÔ-SÊ-QÚ-@ÁYS
heterossexual,heterossexual.A:ms;É-TÊ-ŔÔ-SÊ-QÚ-@ÁW
heterossexual,heterossexual.A:fs;É-TÊ-ŔÔ-SÊ-QÚ-@ÁW
hexadecimais,hexadecimal.A:mp;Ê-QÁ-DÊ-SÍ-@MÁYS
hexadecimais,hexadecimal.A:fp;Ê-QÁ-DÊ-SÍ-@MÁYS
hexagonal,hexagonal.A:ms;Ê-ZÁ-GÔ-@NÁW
hexagonal,hexagonal.A:fs;Ê-ZÁ-GÔ-@NÁW
hexágono,hexágono.A:ms;Ê-@ZÁ-GÔ-NU
homossexuais,homossexual.A:mp;Ô-MÔ-SÊ-QÚ-@ÁYS
homossexuais,homossexual.A:fp;Ô-MÔ-SÊ-QÚ-@ÁYS
homossexual,homossexual.A:ms;Ô-MÔ-SÊ-QÚ-@ÁW
homossexual,homossexual.A:fs;Ô-MÔ-SÊ-QÚ-@ÁW
inexeqüíveis,inexeqüível.A:mp;Í-NÊ-ZÊ-@KWÍ-VÊYS
inexeqüíveis,inexeqüível.A:fp;Í-NÊ-ZÊ-@KWÍ-VÊYS
inexigível,inexigível.A:ms;Í-NÊ-ZÍ-@JÍ-VÊW
inexigível,inexigível.A:fs;Í-NÊ-ZÍ-@JÍ-VÊW
inexistentes,inexistente.A:mp;Í-NÊ-ZÍS-@TẼ-7IS
inexistentes,inexistente.A:fp;Í-NÊ-ZÍS-@TẼ-7IS
inexistente,inexistente.A:ms;Í-NÊ-ZÍS-@TẼ-7I
inexistente,inexistente.A:fs;Í-NÊ-ZÍS-@TẼ-7I
inexorável,inexorável.A:ms;Í-NÊ-XÔ-@ŔÁ-VÊW
inexorável,inexorável.A:fs;Í-NÊ-XÔ-@ŔÁ-VÊW
inexplicáveis,inexplicável.A:mp;Í-NÊS-PLÍ-@KÁ-VÊYS
inexplicáveis,inexplicável.A:fp;Í-NÊS-PLÍ-@KÁ-VÊYS
inexplicável,inexplicável.A:ms;Í-NÊS-PLÍ-@KÁ-VÊW
inexplicável,inexplicável.A:fs;Í-NÊS-PLÍ-@KÁ-VÊW
inexploradas,inexplorado.A:fp;Í-NÊS-PLÔ-@ŔÁ-D6S
inexplorados,inexplorado.A:mp;Í-NÊS-PLÔ-@ŔÁ-DUS
inexplorado,inexplorado.A:ms;Í-NÊS-PLÔ-@ŔÁ-DU
inexpressivo,inexpressivo.A:ms;Í-NÊS-PŔÊ-@SÍ-VU
inexpugnável,inexpugnável.A:ms;Í-NÊS-PÚ-GÍ-@NÁ-VÊW
inexpugnável,inexpugnável.A:fs;Í-NÊS-PÚ-GÍ-@NÁ-VÊW
inflexíveis,inflexível.A:mp;Ĩ-FLÊ-@QÍ-VÊYS
inflexíveis,inflexível.A:fp;Ĩ-FLÊ-@QÍ-VÊYS
inflexível,inflexível.A:ms;Ĩ-FLÊ-@QÍ-VÊW
inflexível,inflexível.A:fs;Ĩ-FLÊ-@QÍ-VÊW
inoxidável,inoxidável.A:ms;Í-NÔ-QÍ-@DÁ-VÊW
inoxidável,inoxidável.A:fs;Í-NÔ-QÍ-@DÁ-VÊW
laxante,laxante.A:ms;LÁ-@XÃ-7I
laxante,laxante.A:fs;LÁ-@XÃ-7I
luxuosos,luxuoso.A:mp;LÚ-XÚ-@Ó-ZUS
luxuoso,luxuoso.A:ms;LÚ-XÚ-@Ô-ZU
luxuriante,luxuriante.A:ms;LÚ-XÚ-ŔÍ-@Ã-7I
luxuriante,luxuriante.A:fs;LÚ-XÚ-ŔÍ-@Ã-7I
marxistas,marxista.A:mp;MÁH-@QÍS-T6S
marxistas,marxista.A:fp;MÁH-@QÍS-T6S
marxista,marxista.A:ms;MÁH-@QÍS-T6
marxista,marxista.A:fs;MÁH-@QÍS-T6
maxilar,maxilar.A:ms;MÁ-QÍ-@LÁH
maxilar,maxilar.A:fs;MÁ-QÍ-@LÁH
mexicana,mexicano.A:fs;MÊ-XÍ-@KÃ-N6
mexicanos,mexicano.A:mp;MÊ-XÍ-@KÃ-NUS
mexicano,mexicano.A:ms;MÊ-XÍ-@KÃ-NU
mexida,mexido.A:fs;MÊ-@XÍ-D6
mexidos,mexido.A:mp;MÊ-@XÍ-DUS
mexido,mexido.A:ms;MÊ-@XÍ-DU
mixuruca,mixuruca.A:ms;MÍ-XÚ-@HÚ-K6
mixuruca,mixuruca.A:fs;MÍ-XÚ-@HÚ-K6
máxima,máximo.A:fs;@MÁ-SÍ-M6
máximos,máximo.A:mp;@MÁ-SÍ-MUS
máximo,máximo.A:ms;@MÁ-SÍ-MU
ortodoxas,ortodoxo.A:fp;ÔH-TÔ-@DÓ-Q6S
ortodoxa,ortodoxo.A:fs;ÔH-TÔ-@DÓ-Q6
ortodoxos,ortodoxo.A:mp;ÔH-TÔ-@DÓ-QUS
ortodoxo,ortodoxo.A:ms;ÔH-TÔ-@DÓ-QU
oxidante,oxidante.A:ms;Ô-QÍ-@DÃ-7I
oxidante,oxidante.A:fs;Ô-QÍ-@DÃ-7I
paradoxal,paradoxal.A:ms;PÁ-ŔÁ-DÔ-@QÁW
paradoxal,paradoxal.A:fs;PÁ-ŔÁ-DÔ-@QÁW
perplexos,perplexo.A:mp;PÊH-@PLÉ-QUS
perplexo,perplexo.A:ms;PÊR-@PLÉ-QU
pixaim,pixaim.A:ms;PÍ-@XÁĨ
pixaim,pixaim.A:fs;PÍ-@XÁĨ
próximas,próximo.A:fp;@PŔÓ-SÍ-M6S
próxima,próximo.A:fs;@PŔÓ-SÍ-M6
próximos,próximo.A:mp;@PŔÓ-SÍ-MUS
próximo,próximo.A:ms;@PŔÓ-SÍ-MU
puxadinho,puxado.A:Dms;PÚ-XÁ-@8Ĩ-ÑU
puxadas,puxado.A:fp;PÚ-@XÁ-D6S
puxada,puxado.A:fs;PÚ-@XÁ-D6
puxados,puxado.A:mp;PÚ-@XÁ-DUS
puxado,puxado.A:ms;PÚ-@XÁ-DU
queixosos,queixoso.A:mp;KÊY-@XÓ-ZUS
rebaixados,rebaixado.A:mp;HÊ-BÁY-@XÁ-DUS
rebaixado,rebaixado.A:ms;HÊ-BÁY-@XÁ-DU
reflexivas,reflexivo.A:fp;HÊ-FLÊ-@QÍ-V6S
reflexiva,reflexivo.A:fs;HÊ-FLÊ-@QÍ-V6
reflexivo,reflexivo.A:ms;HÊ-FLÊ-@QÍ-VU
reflexos,reflexo.A:mp;HÊ-@FLÉ-QUS
reflexo,reflexo.A:ms;HÊ-@FLÉ-QU
relaxada,relaxado.A:fs;HÊ-LÁ-@XÁ-D6
relaxados,relaxado.A:mp;HÊ-LÁ-@XÁ-DUS
relaxado,relaxado.A:ms;HÊ-LÁ-@XÁ-DU
relaxante,relaxante.A:ms;HÊ-LÁ-@XÃ-7I
relaxante,relaxante.A:fs;HÊ-LÁ-@XÃ-7I
relaxa,relaxo.A:fs;HÊ-@LÁ-X6
relaxo,relaxo.A:ms;HÊ-@LÁ-XU
roxas,roxo.A:fp;@HÓ-X6S
roxa,roxo.A:fs;@HÓ-X6
roxos,roxo.A:mp;@HÓ-XUS
roxo,roxo.A:ms;@HÓ-XU
saxões,saxão.A:mp;SÁ-@QÕỸS
saxão,saxão.A:ms;SÁ-@QÃŴ
sexuais,sexual.A:mp;SÊ-QÚ-@ÁYS
sexuais,sexual.A:fp;SÊ-QÚ-@ÁYS
sexual,sexual.A:ms;SÊ-QÚ-@ÁW
sexual,sexual.A:fs;SÊ-QÚ-@ÁW
sexy,sexy.A:ms;@SÉ-QI
sexy,sexy.A:mp;@SÉ-QI
sexy,sexy.A:fs;@SÉ-QI
sexy,sexy.A:fp;@SÉ-QI
taxados,taxado.A:mp;TÁ-@XÁ-DUS
taxado,taxado.A:ms;TÁ-@XÁ-DU
texana,texano.A:fs;TÉ-@QÃ-N6
textual,textual.A:ms;TÊS-TÚ-@ÁW
textual,textual.A:fs;TÊS-TÚ-@ÁW
toxicológico,toxicológico.A:ms;TÓ-QÍ-KÔ-@LÓ-JÍ-KU
transexuais,transexual.A:mp;TŔÃ-SÊ-QÚ-@ÁYS
transexuais,transexual.A:fp;TŔÃ-SÊ-QÚ-@ÁYS
transexual,transexual.A:ms;TŔÃ-SÊ-QÚ-@ÁW
transexual,transexual.A:fs;TŔÃ-SÊ-QÚ-@ÁW
trouxa,trouxa.A:ms;@TŔÔW-X6
trouxa,trouxa.A:fs;@TŔÔW-X6
têxteis,têxtil.A:mp;@TÊX-TÊYS
têxteis,têxtil.A:fp;@TÊX-TÊYS
têxtil,têxtil.A:ms;@TÊX-7IW
têxtil,têxtil.A:fs;@TÊX-7IW
tóxicas,tóxico.A:fp;@TÓ-QÍ-K6S
tóxica,tóxico.A:fs;@TÓ-QÍ-K6
tóxicos,tóxico.A:mp;@TÓ-QÍ-KUS
tóxico,tóxico.A:ms;@TÓ-QÍ-KU
vexatório,vexatório.A:ms;VÊ-XÁ-@TÓ-ŔÍ-U
xadrez,xadrez.A:ms;XÁ-@DŔÊS
xadrez,xadrez.A:mp;XÁ-@DŔÊS
xadrez,xadrez.A:fs;XÁ-@DŔÊS
xadrez,xadrez.A:fp;XÁ-@DŔÊS
abacaxi,abacaxi.A:ms;Á-BÁ-KÁ-@XÍ
extrovertida,extrovertido.A:fs;ÊS-TŔÔ-VÊH-@7Í-D6
extrovertido,extrovertido.A:ms;ÊS-TŔÔ-VÊH-@7Í-DU
exus,exu.A:mp;Ê-@XÚS
exu,exu.A:ms;Ê-@XÚ
inox,inox.A:ms;Í-@NÓQ
paradoxo,paradoxo.A:ms;PÁ-ŔÁ-@DÓ-QU
roxas,roxa.A:fp;@HÓ-X6S
roxa,roxa.A:fs;@HÓ-X6
abaixo,abaixo.ADV;Á-@BÁY-XU
apaixonadamente,apaixonadamente.ADV;Á-PÁY-XÔ-NÁ-DÁ-@MẼ-7I
aproximadamente,aproximadamente.ADV;Á-PŔÓ-SÍ-MÁ-DÁ-@MẼ-7I
baixo,baixo.ADV;@BÁY-XU
debaixo,debaixo.ADV;DÊ-@BÁY-XU
embaixo,embaixo.ADV;Ẽ-@BÁY-XU
exageradamente,exageradamente.ADV;É-ZÁ-JÊ-ŔÁ-DÁ-@MẼ-7I
exatamente,exatamente.ADV;Ê-ZÁ-TÁ-@MẼ-7I
exaustivamente,exaustivamente.ADV;Ê-ZÁWX-7Í-VÁ-@MẼ-7I
excessivamente,excessivamente.ADV;Ê-SÊ-SÍ-VÁ-@MẼ-7I
exceto,exceto.ADV;É-@SÉ-TU
exclusivamente,exclusivamente.ADV;ÊS-KLÚ-ZÍ-VÁ-@MẼ-7I
exemplarmente,exemplarmente.ADV;Ê-ZẼ-PLÁR-@MẼ-7I
experimentalmente,experimentalmente.ADV;ÊS-PÉ-ŔÍ-MẼ-TÁW-@MẼ-7I
explicitamente,explicitamente.ADV;ÊS-PLÍ-SÍ-TÁ-@MẼ-7I
exponencialmente,exponencialmente.ADV;ÊS-PÔ-NẼ-SÍ-ÁW-@MẼ-7I
expressamente,expressamente.ADV;ÊS-PŔÊ-SÁ-@MẼ-7I
extensivamente,extensivamente.ADV;ÊS-TẼ-SÍ-VÁ-@MẼ-7I
externamente,externamente.ADV;ÊS-TÉR-NÁ-@MẼ-7I
extraordinariamente,extraordinariamente.ADV;ÊS-TŔÁ-ÔR-8Í-NÁ-ŔÍ-Á-@MẼ-7I
extremamente,extremamente.ADV;ÊS-TŔÊ-MÁ-@MẼ-7I
fixamente,fixamente.ADV;FÍ-QÁ-@MẼ-7I
inexoravelmente,inexoravelmente.ADV;Í-NÊ-QÔ-ŔÁ-VÊW-@MẼ-7I
paradoxalmente,paradoxalmente.ADV;PÁ-ŔÁ-DÓ-QÁW-@MẼ-7I
próximo,próximo.ADV;@PŔÓ-SÍ-MU
sexualmente,sexualmente.ADV;SÊ-QÚ-ÁW-@MẼ-7I
xi,xi.INTERJ;@XÍ
alex,alex.N+Pr:ms;Á-@LÉQ
alexander,alexander.N+Pr:ms;Á-LÊ-@QÃ-DÊH
alexandra,alexandra.N+Pr:fs;Á-LÊ-@XÃ-DŔ6
alexandra,alexandra.N+Pr:fs;Á-LÊ-@QÃ-DŔ6
alexandre,alexandre.N+Pr:ms;Á-LÊ-@XÃ-DŔI
alexandre,alexandre.N+Pr:ms;Á-LÊ-@QÃ-DŔI
alexandria,alexandria.N+Pr:fs;Á-LÊ-XÃ-@DŔÍ-6
box,box.N+Pr:ms;@BÓQ
box,box.N+Pr:mp;@BÓQ
box,box.N+Pr:fs;@BÓQ
box,box.N+Pr:fp;@BÓQ
bruxelas,bruxelas.N+Pr:fs;BŔÚ-@XÉ-L6S
caxias,caxias.N+Pr:ms;KÁ-@XÍ-6S
caxias,caxias.N+Pr:mp;KÁ-@XÍ-6S
excel,excel.N+Pr:ms;É-@QÉW
explorer,explorer.N+Pr:ms;ÊQ-PLÓ-@ŔÊH
express,express.N+Pr:ms;@ÉQ-PŔÉS
exu,exu.N+Pr:ms;Ê-@XÚ
felix,felix.N+Pr:ms;@FÉ-LÍQ
felix,felix.N+Pr:mp;@FÉ-LÍQ
felix,felix.N+Pr:fs;@FÉ-LÍQ
felix,felix.N+Pr:fp;@FÉ-LÍQ
félix,félix.N+Pr:ms;@FÉ-LÍQ
marx,marx.N+Pr:ms;@MÁHQ
marx,marx.N+Pr:fs;@MÁHQ
max,max.N+Pr:ms;@MÁQ
maximiliano,maximiliano.N+Pr:ms;MÁ-QÍ-MÍ-LÍ-@Ã-NU
maximo,maximo.N+Pr:ms;MÁ-@SĨ-MU
méxico,méxico.N+Pr:ms;@MÉ-XÍ-KU
nixon,nixon.N+Pr:ms;@NÍ-QÕ
nixon,nixon.N+Pr:fs;@NÍ-QÕ
oxalá,oxalá.N+Pr:ms;Ô-XÁ-@LÁ
oxford,oxford.N+Pr:fs;@ÓQ-FÔH-8I
oxossi,oxossi.N+Pr:ms;Ô-XÔ-@SÍ
oxum,oxum.N+Pr:ms;Ô-@XŨ
peixoto,peixoto.N+Pr:ms;PÊY-@XÔ-TU
peixoto,peixoto.N+Pr:fs;PÊY-@XÔ-TU
phoenix,phoenix.N+Pr:ms;@FÍ-NIQ
quixote,quixote.N+Pr:ms;KÍ-@XÓ-7I
rexona,rexona.N+Pr:ms;HÊ-@QÕ-N6
rexona,rexona.N+Pr:mp;HÊ-@QÕ-N6
rexona,rexona.N+Pr:fs;HÊ-@QÕ-N6
rexona,rexona.N+Pr:fp;HÊ-@QÕ-N6
teixeira,teixeira.N+Pr:ms;TÊY-@XÊY-Ŕ6
teixeira,teixeira.N+Pr:fs;TÊY-@XÊY-Ŕ6
texas,texas.N+Pr:ms;@TÉ-Q6S
xangai,xangai.N+Pr:ms;XÃ-@GÁY
xangai,xangai.N+Pr:fs;XÃ-@GÁY
xangô,xangô.N+Pr:ms;XÃ-@GÔ
xavier,xavier.N+Pr:ms;XÁ-VÍ-@ÉH
xavier,xavier.N+Pr:mp;XÁ-VÍ-@ÉH
xavier,xavier.N+Pr:fs;XÁ-VÍ-@ÉH
xavier,xavier.N+Pr:fp;XÁ-VÍ-@ÉH
ximenes,ximenes.N+Pr:ms;XÍ-@MẼ-NIS
ximenes,ximenes.N+Pr:mp;XÍ-@MẼ-NIS
ximenes,ximenes.N+Pr:fs;XÍ-@MẼ-NIS
ximenes,ximenes.N+Pr:fp;XÍ-@MẼ-NIS
xingu,xingu.N+Pr:ms;XĨ-@GÚ
xuxa,xuxa.N+Pr:fs;@XÚ-X6
sexto,sexto.DET+Num:Fms;@SÊS-TU
sextas,sexto.DET+Num:Ffp;@SÊS-T6S
sexta,sexto.DET+Num:Ffs;@SÊS-T6
ex,ex.PFX;@ÊS
extra,extra.PFX;@ÉS-TŔ6
maxi,maxi.PFX;@MÁ-QI
exceto,exceto.PREP;É-@SÉ-TU
excelentíssimas,excelência.PRO+Tra:Sfp;Ê-SÊ-LẼ-@TÍ-SÍ-M6S
excelentíssimos,excelência.PRO+Tra:Smp;Ê-SÊ-LẼ-@TÍ-SÍ-MUS
excelentíssimo,excelência.PRO+Tra:Sms;Ê-SÊ-LẼ-@TÍ-SÍ-MU
excelências,excelência.PRO+Tra:mp;Ê-SÊ-@LẼ-SÍ-6S
excelências,excelência.PRO+Tra:fp;Ê-SÊ-@LẼ-SÍ-6S
excelência,excelência.PRO+Tra:ms;Ê-SÊ-@LẼ-SÍ-6
excelência,excelência.PRO+Tra:fs;Ê-SÊ-@LẼ-SÍ-6
abacaxi,abacaxi.N:ms;Á-BÁ-KÁ-@XÍ
almoxarifado,almoxarifado.N:ms;ÁW-MÔ-XÁ-ŔÍ-@FÁ-DU
ameixa,ameixa.N:fs;Á-@MÊY-X6
antioxidantes,antioxidante.N:mp;Ã-7Í-Ô-QÍ-@DÃ-7IS
aproximações,aproximação.N:fp;Á-PŔÔ-SÍ-MÁ-@SÕỸS
aproximação,aproximação.N:fs;Á-PŔÔ-SÍ-MÁ-@SÃŴ
auxílios,auxílio.N:mp;ÁW-@SÍ-LÍ-US
auxílio,auxílio.N:ms;ÁW-@SÍ-LÍ-U
axila,axila.N:fs;Á-@QÍ-L6
axiologia,axiologia.N:fs;Á-QÍ-Ô-LÔ-@JÍ-6
axiomas,axioma.N:mp;Á-QÍ-@Ô-M6S
axioma,axioma.N:ms;Á-QÍ-@Ô-M6
axé,axé.N:ms;Á-@XÉ
axônios,axônio.N:mp;Á-@QÕ-NÍ-US
axônio,axônio.N:ms;Á-@QÕ-NÍ-U
baixos,baixo.N:mp;@BÁY-XUS
baixo,baixo.N:ms;@BÁY-XU
bexigas,bexiga.N:fp;BÊ-@XÍ-G6S
bexiga,bexiga.N:fs;BÊ-@XÍ-G6
bissexualidade,bissexualidade.N:fs;BÍ-SÊ-QÚ-Á-LÍ-@DÁ-8I
boxe,boxe.N:ms;@BÓ-QI
boxeador,boxeador.N:ms;BÔ-QÍ-Á-@DÔH
bruxaria,bruxaria.N:fs;BŔÚ-XÁ-@ŔÍ-6
bruxas,bruxo.N:fp;@BŔÚ-X6S
bruxa,bruxo.N:fs;@BŔÚ-X6
bruxos,bruxo.N:mp;@BŔÚ-XUS
